name,capital
استان کرمانشاه,کرمانشاه
استان کهگیلویه و بویر احمد,یاسوج
استان سمنان,سمنان
استان قم,قم
استان البرز,کرج
استان سیستان و بلوچستان,زاهدان
استان خراسان جنوبی,بیرجند
استان مرکزی,اراک
استان کرمان,کرمان
استان بوشهر,بوشهر
استان خراسان شمالی,بجنورد
استان مازندران,ساری
استان خراسان رضوی,مشهد
استان همدان,همدان
استان زنجان,زنجان
استان آذربایجان غربی,ارومیه
استان یزد,یزد
استان هرمزگان,بندرعباس
استان خوزستان,اهواز
استان کردستان,سنندج
استان گلستان,گرگان
استان لرستان,خرم آباد
استان تهران,تهران
استان چهارمحال و بختیاری,شهرکرد
استان آذربایجان شرقی,تبریز
استان گیلان,رشت
استان اردبیل,اردبیل
استان قزوین,قزوین
استان فارس,شیراز
استان اصفهان,اصفهان
استان ایلام,ایلام
